0.000	,	0.000
0.000	,	0.002
0.002	,	0.044
0.042	,	0.310
0.268	,	1.106
0.838	,	2.660
1.822	,	4.812
2.990	,	6.966
3.976	,	8.549
4.573	,	9.281
4.708	,	9.103
4.395	,	8.158
3.764	,	6.783
3.019	,	5.333
2.314	,	4.022
1.708	,	2.935
1.227	,	2.108
0.881	,	1.518
0.636	,	1.097
0.461	,	0.793
0.332	,	0.573
0.240	,	0.414
0.174	,	0.299
0.125	,	0.217
0.092	,	0.158
0.067	,	0.114
0.048	,	0.080
0.032	,	0.052
0.020	,	0.032
0.012	,	0.018
0.006	,	0.010
0.003	,	0.005
0.001	,	0.002
0.001	,	0.001
0.001	,	0.001
